"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SYMBOL"
"IFI16"	5818.07237173647	0.647493789538862	0.20173906834401	3.20956072045867	0.001329379649654	0.00887034305614967	"IFI16"
"HIF3A"	703.822267578201	-1.7476780204625	0.418109498689894	-4.17995292127705	2.91569452312833e-05	0.000601708699210322	"HIF3A"
"TFAP2A"	712.713829200942	0.0132583071473318	0.425354801456732	0.0311699952649541	0.975133968592219	0.985394192012588	"TFAP2A"
"ZEB2"	2841.74530509401	-0.0157836410786211	0.234975377522451	-0.0671714681131346	0.94644519895613	0.968049312570756	"ZEB2"
"TOX3"	982.983481654368	0.417676312414031	0.416529729466491	1.0027527037482	0.315980193923548	0.469902329853369	"TOX3"
"E2F8"	272.379873447596	0.273445779744399	0.33231947200568	0.822840076430203	0.410598943067381	0.563026639807727	"E2F8"
"TWIST1"	128.687449986994	1.19416777093933	0.441948004291838	2.70205490089909	0.00689123824981897	0.0294683262562571	"TWIST1"
"SOX13"	1773.20052076595	-0.451798773791453	0.207928209588544	-2.17285944358146	0.0297908977121496	0.0854165752581948	"SOX13"
"AHR"	11809.3868523576	0.419091299005761	0.246996674817783	1.69674874900619	0.089744171934901	0.191192703538917	"AHR"
"FOXA2"	1563.31121712137	-0.762080019763937	0.375228313078042	-2.03097685649706	0.0422573423715419	0.109899980036164	"FOXA2"
"DLX4"	180.199269304393	-1.47677249175212	0.304645603458349	-4.84750961441011	1.25020975393694e-06	6.24718576201806e-05	"DLX4"
"SALL4"	105.069141176106	-0.367680264827342	0.416306184272796	-0.883196740085921	0.3771299826202	0.531808581912861	"SALL4"
"SCXA"	86.6908682770664	-0.393852110489561	0.364814564221411	-1.07959535916589	0.280322408945734	0.433094956812198	"SCXA"
"FOXM1"	1324.99757074123	-0.704306390093591	0.382487515526366	-1.84138399687203	0.065565306282268	0.152323525330451	"FOXM1"
